outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,loss_diff_scaled,var_diff_scaled,skew_diff_scaled
140,135,-22,186,100,-15,84.33333333333333,90.33333333333331,-6.0,75.21672390868639,82.3421047959197,-7.125380887233305,-22,-15,-7,-0.7,-0.17,-0.5299999999999999,0.5300220807156554,0.03898978497958744,0.39353679106812106
122,110,-101,170,64,-94,43.666666666666664,46.666666666666664,-3.0,102.41202186375494,108.47221866552847,-6.060196801773529,-101,-94,-7,-0.7,-0.24,-0.45999999999999996,0.5300220807156554,0.21183806234944044,0.5921085423021643
100,66,-29,147,14,-15,45.666666666666664,48.666666666666664,-3.0,54.59141161595129,70.53289224814823,-15.941480632196942,-29,-15,-14,-0.51,0.62,-1.13,-0.1954271359063311,-1.391605803932174,-1.3085067909379633
95,63,-105,124,32,-94,17.666666666666668,20.666666666666668,-3.0,87.7167157514588,89.35820549277436,-1.641489741315553,-105,-94,-11,-0.64,-0.19,-0.45,0.11547967121737739,0.9288652072607314,0.6204759353355986
73,67,-89,116,23,-79,17.0,20.0,-3.0,74.9933330370107,79.63667496825819,-4.643341931247491,-89,-79,-10,-0.7,-0.06,-0.6399999999999999,0.21911527359194688,0.4417522405619347,0.08149546770033897
148,45,-136,186,6,-126,19.0,22.0,-3.0,117.39108427247218,127.87493890516625,-10.483854632694062,-136,-126,-10,-0.32,0.19,-0.51,0.21911527359194688,-0.5059924480625068,0.4502715771349903
91,50,-51,130,10,-41,30.0,33.0,-3.0,59.67132197854063,71.6798437498297,-12.008521771289068,-51,-41,-10,-0.47,0.45,-0.9199999999999999,0.21911527359194688,-0.7534014096363337,-0.7127915372358341
53,36,-84,83,5,-74,1.6666666666666667,4.666666666666667,-3.0,60.97176031209494,64.09541498595841,-3.12365467386347,-84,-74,-10,-0.67,-0.01,-0.66,0.21911527359194688,0.6883531128105688,0.02476068163346912
84,62,-67,130,9,-51,26.333333333333332,29.333333333333332,-3.0,66.60497145275434,75.2787412812468,-8.673769828492453,-67,-51,-16,-0.65,0.39,-1.04,-0.40269834065547006,-0.21226853257183523,-1.053200253637051
107,62,-83,143,6,-54,28.666666666666668,31.666666666666668,-3.0,81.06924338010207,82.44728955857526,-1.3780461784731983,-83,-54,-29,-0.55,0.44,-0.99,-1.7499611715248735,0.9716144058669258,-0.9113632884698771
102,70,-127,151,3,-100,15.0,18.0,-3.0,101.255452528082,103.01779781507013,-1.762345286988122,-127,-100,-27,-0.65,0.22,-0.87,-1.5426899667757346,0.909253880763037,-0.5709545720686603
160,46,-102,167,34,-97,34.666666666666664,34.666666666666664,0.0,107.26084508751966,107.77857960755571,-0.5177345200360577,-102,-97,-5,-0.16,0.01,-0.17,0.7372932854647943,1.111217869899037,1.4147629402717712
154,88,-55,184,44,-41,62.333333333333336,62.333333333333336,0.0,87.23276652471567,92.76613366717164,-5.5333671424559725,-55,-41,-14,-0.42,0.29,-0.71,-0.1954271359063311,0.2973271344482624,-0.11707628353370438
128,59,-173,155,19,-160,4.666666666666667,4.666666666666667,0.0,128.7486785261201,128.9969853222246,-0.2483067961044867,-173,-160,-13,-0.56,-0.17,-0.39,-0.09179153353176159,1.1549381231331537,0.7906802935362071
106,42,-67,126,19,-64,27.0,27.0,0.0,71.41895173318261,77.77317446695015,-6.354222733767543,-67,-64,-3,-0.31,0.15,-0.45999999999999996,0.9445644902139333,0.16412623812959765,0.5921085423021643
161,77,-36,195,26,-19,67.33333333333333,67.33333333333333,0.0,80.71486163581581,92.12431214879646,-11.409450512980655,-36,-19,-17,-0.18,0.58,-0.76,-0.5063339430300395,-0.6561896352267457,-0.2589132487008782
153,87,-77,197,30,-64,54.333333333333336,54.333333333333336,0.0,96.6965471059966,107.9331068558464,-11.236559749849803,-77,-64,-13,-0.47,0.33,-0.8,-0.09179153353176159,-0.6281345121843931,-0.37238282083461727
143,79,-132,187,11,-108,30.0,30.0,0.0,117.4932622181658,121.18030643081684,-3.6870442126510454,-132,-108,-24,-0.55,0.23,-0.78,-1.231783159652026,0.5969314396961114,-0.3156480347677477
159,88,-151,198,35,-137,32.0,32.0,0.0,132.60718934758654,136.77962811276635,-4.172438765179805,-151,-137,-14,-0.56,-0.03,-0.53,-0.1954271359063311,0.5181660756669448,0.39353679106812073
141,59,-195,183,9,-187,1.6666666666666667,1.6666666666666667,0.0,143.03690277531723,151.14084674751416,-8.10394397219693,-195,-187,-8,-0.54,-0.07,-0.47000000000000003,0.42638647834108584,-0.11980243304410068,0.5637411492687293
129,78,-190,158,41,-182,5.666666666666667,5.666666666666667,0.0,139.9150535940369,141.0350626223454,-1.120009028308516,-190,-182,-8,-0.64,-0.36,-0.28,0.42638647834108584,1.0134863015441313,1.1027216169039893
129,85,-103,184,9,-91,37.0,34.0,3.0,100.6114638928719,113.6515141415488,-13.040050248676906,-103,-91,-12,-0.61,0.32,-0.9299999999999999,0.011844068842807899,-0.9207883644437503,-0.7411589302692688
134,113,-78,192,28,-60,56.333333333333336,53.333333333333336,3.0,95.37411715042096,104.42647599574012,-9.052358845319162,-78,-60,-18,-0.68,0.35,-1.03,-0.609969545404609,-0.27370247650970114,-1.0248328606036161
133,65,-81,156,20,-68,39.0,36.0,3.0,89.2785901919753,92.14481356357864,-2.86622337160334,-81,-68,-13,-0.41,0.26,-0.6699999999999999,-0.09179153353176159,0.7301266970615341,-0.0036067113999653263
154,124,-73,187,69,-60,68.33333333333333,65.33333333333333,3.0,100.68542871515994,100.87065425032638,-0.18522553516643825,-73,-60,-13,-0.66,-0.05,-0.61,-0.09179153353176159,1.1651743700282182,0.16659764680064293
131,29,-46,138,2,-35,38.0,35.0,3.0,72.53964433328854,74.38189743927394,-1.8422531059854066,-46,-35,-11,0.18,0.58,-0.39999999999999997,0.11547967121737739,0.8962871747724022,0.7623129005027727
150,75,-191,184,18,-177,11.333333333333334,8.333333333333334,3.0,146.3109322261631,147.53605962234752,-1.2251273961844333,-191,-177,-14,-0.57,-0.1,-0.47,-0.1954271359063311,0.9964286595315397,0.5637411492687293
149,71,-58,164,34,-45,54.0,51.0,3.0,85.3580693314932,86.16650548018451,-0.8084361486913139,-58,-45,-13,-0.29,0.29,-0.58,-0.09179153353176159,1.0640454830528865,0.25169982590094725
168,71,-146,198,17,-131,31.0,28.0,3.0,131.27325190863016,134.53871809507726,-3.2654661864470995,-146,-131,-15,-0.43,0.12,-0.55,-0.2990627382809006,0.6653412447251446,0.3368020050012512
136,60,-142,171,8,-134,18.0,15.0,3.0,117.31439241059329,124.61407090159068,-7.299678490997394,-142,-134,-8,-0.49,0.08,-0.57,0.42638647834108584,0.010706372777358166,0.28006721893438197
151,90,-71,187,35,-61,56.666666666666664,53.666666666666664,3.0,93.64590517238624,102.1023451684088,-8.456439996022567,-71,-61,-10,-0.49,0.27,-0.76,0.21911527359194688,-0.17700224604326167,-0.2589132487008782
94,89,-111,146,11,-103,24.0,18.0,6.0,95.48123724935002,101.7742600071354,-6.29302275778538,-111,-103,-8,-0.71,0.1,-0.8099999999999999,0.42638647834108584,0.17405720740335207,-0.4007502138680517
182,70,-66,193,28,-53,62.0,56.0,6.0,101.40348448976825,102.36210236215356,-0.958617872385318,-66,-53,-13,-0.12,0.39,-0.51,-0.09179153353176159,1.0396753740855345,0.4502715771349903
172,78,-65,199,24,-56,61.666666666666664,55.666666666666664,6.0,97.44172047377288,106.48421896642192,-9.042498492649045,-65,-56,-9,-0.25,0.42,-0.6699999999999999,0.32275087596651636,-0.27210242915961935,-0.0036067113999653263
144,58,-111,168,8,-103,30.333333333333332,24.333333333333332,6.0,105.92555037488464,111.23648482200232,-5.310934447117688,-111,-103,-8,-0.37,0.22,-0.59,0.42638647834108584,0.33342146663438443,0.22333243286751248
158,113,-175,198,44,-164,32.0,26.0,6.0,147.51949023773096,148.33295880102528,-0.8134685632943217,-175,-164,-11,-0.66,-0.18,-0.48000000000000004,0.11547967121737739,1.063228869091962,0.5353737562352946
121,91,-186,175,15,-182,8.666666666666666,2.6666666666666665,6.0,138.19390563825726,146.0053271478666,-7.811421509609346,-186,-182,-4,-0.68,-0.13,-0.55,0.8409288878393638,-0.07233457801280194,0.3368020050012512
153,95,-92,197,26,-85,52.0,46.0,6.0,104.54026337572844,115.9913789899922,-11.451115614263756,-92,-85,-7,-0.55,0.25,-0.8,0.5300220807156554,-0.6629506646877853,-0.37238282083461727
107,100,-119,171,5,-106,29.333333333333332,23.333333333333332,6.0,104.92642925190754,113.82540235914924,-8.898973107241702,-119,-106,-13,-0.7,0.24,-0.94,-0.09179153353176159,-0.24881244955408227,-0.7695263233027033
149,126,-93,197,52,-85,60.666666666666664,54.666666666666664,6.0,109.06369189097208,115.1414588910335,-6.077767000061414,-93,-85,-8,-0.68,0.03,-0.7100000000000001,0.42638647834108584,0.20898693215648723,-0.1170762835337047
162,81,-54,198,15,-42,63.0,57.0,6.0,89.09545442950498,102.3816389788716,-13.286184549366624,-54,-42,-12,-0.29,0.55,-0.8400000000000001,0.011844068842807899,-0.9607287751733052,-0.4858523929683563
144,74,-75,162,20,-66,47.666666666666664,38.666666666666664,9.0,91.32481712120877,94.01181958787002,-2.687002466661255,-75,-66,-9,-0.41,0.29,-0.7,0.32275087596651636,0.7592090173015438,-0.08870889050026962
186,62,-18,197,12,-6,76.66666666666667,67.66666666666667,9.0,83.92589323656648,91.74723731838225,-7.8213440818157665,-18,-6,-12,0.26,0.69,-0.42999999999999994,0.011844068842807899,-0.07394472177702974,0.6772107214024685
170,102,-87,196,35,-73,61.666666666666664,52.666666666666664,9.0,108.7269771287492,110.5270203263538,-1.8000431976046087,-87,-73,-14,-0.51,0.24,-0.75,-0.1954271359063311,0.9031366105189154,-0.23054585566744343
167,111,-46,198,43,-36,77.33333333333333,68.33333333333333,9.0,90.15665378784986,97.19510732999316,-7.038453542143301,-46,-36,-10,-0.51,0.37,-0.88,0.21911527359194688,0.05309555510912934,-0.599321965102095
150,84,-83,173,25,-74,50.333333333333336,41.333333333333336,9.0,98.05553981743655,101.49657903375638,-3.4410392163198225,-83,-74,-9,-0.47,0.24,-0.71,0.32275087596651636,0.636850868103526,-0.11707628353370438
149,63,-31,166,11,-23,60.333333333333336,51.333333333333336,9.0,73.5088807937895,82.26110191876163,-8.752221124972124,-31,-23,-8,-0.05,0.62,-0.67,0.42638647834108584,-0.2249988874832959,-0.0036067113999656416
156,100,-88,182,37,-78,56.0,47.0,9.0,104.35835695653064,106.37982264821964,-2.021465691689002,-88,-78,-10,-0.56,0.14,-0.7000000000000001,0.21911527359194688,0.8672062045019039,-0.08870889050026994
160,71,-53,176,11,-36,59.333333333333336,50.333333333333336,9.0,87.3473271231327,90.90776766713734,-3.560440544004635,-53,-36,-17,-0.2,0.57,-0.77,-0.5063339430300395,0.6174755187270965,-0.28728064173431295
166,85,-38,195,12,-21,71.0,62.0,9.0,83.86894538504703,95.00526301210895,-11.136317627061928,-38,-21,-17,-0.25,0.64,-0.89,-0.5063339430300395,-0.6118681423800623,-0.6276893581355298
132,114,-121,182,19,-103,41.666666666666664,32.666666666666664,9.0,115.2572003053268,116.75139780271964,-1.4941974973928325,-121,-103,-18,-0.69,0.17,-0.86,-0.609969545404609,0.9527664380240418,-0.5425871790352255
