id,age,sex,trial,condition,choice,resp,rt,outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff
1,37,male,17,new,a,0,1.0790000000000075,48,46,-67,77,10,-60,9,9,0,53.7463177,55.93448549,-2.188167783,-67,-60,-7,-0.71,-0.03,-0.68
1,37,male,18,new,a,0,1.1132000000010862,48,35,-20,67,3,-7,21,21,0,29.47315162,32.78210894,-3.308957317,-20,-7,-13,-0.61,0.66,-1.27
1,37,male,19,new,a,0,1.7127000000011208,69,48,-66,95,23,-58,17,20,-3,59.31273051,62.49799997,-3.185269463,-66,-58,-8,-0.64,-0.07,-0.57
1,37,male,20,new,a,0,1.329499999999996,57,37,-63,90,9,-59,10.33333333,13.33333333,-3,52.49338583,60.90612084,-8.412735011,-63,-59,-4,-0.63,0.11,-0.74
1,37,male,21,new,a,0,1.2790999999996302,83,49,-12,97,11,-6,40,34,6,39.3022476,45.08510471,-5.782857106,-12,-6,-6,-0.33,0.63,-0.96
1,37,male,22,new,a,0,3.14629999999886,91,16,-26,99,1,-19,27,27,0,48.39421453,51.5622601,-3.16804557,-26,-19,-7,0.33,0.63,-0.3
1,37,male,23,new,a,0,1.313099999999622,55,16,-30,64,2,-25,13.66666667,13.66666667,0,34.7403064,37.25885428,-2.518547878,-30,-25,-5,-0.1,0.44,-0.54
1,37,male,24,new,a,0,1.0795999999996295,66,44,-27,85,4,-15,27.66666667,24.66666667,3,39.68486977,43.36152929,-3.676659515,-27,-15,-12,-0.55,0.61,-1.16
1,37,male,25,new,a,0,1.5626999999992677,64,41,-26,87,14,-22,26.33333333,26.33333333,0,38.17794593,45.34558658,-7.167640648,-26,-22,-4,-0.52,0.39,-0.91
1,37,male,26,new,a,0,1.3296999999992636,61,45,-48,87,13,-42,19.33333333,19.33333333,0,48.05783553,52.85409687,-4.796261339,-48,-42,-6,-0.65,0.18,-0.83
1,37,male,27,new,a,0,1.146599999999637,74,47,-15,86,19,-8,35.33333333,32.33333333,3,37.25885428,39.51652256,-2.257668285,-15,-8,-7,-0.44,0.47,-0.91
1,37,male,28,new,a,0,1.0463999999985276,64,55,-60,94,8,-52,19.66666667,16.66666667,3,56.4525366,59.91846312,-3.465926514,-60,-52,-8,-0.69,0.21,-0.9
1,37,male,29,new,a,0,1.1294000000003734,59,44,-37,88,14,-27,22,25,-3,42.16633728,47.58851402,-5.422176736,-37,-27,-10,-0.64,0.33,-0.97
1,37,male,30,new,a,0,1.029799999998886,64,53,-37,92,1,-31,26.66666667,20.66666667,6,45.24255617,52.10459566,-6.862039489,-37,-31,-6,-0.68,0.51,-1.19
1,37,male,31,new,a,0,1.0132000000011203,58,47,-74,97,2,-68,10.33333333,10.33333333,0,59.80152358,67.61820925,-7.816685673,-74,-68,-6,-0.69,0.18,-0.87
1,37,male,32,new,a,0,0.8730999999996243,63,56,-8,78,18,-3,37,31,6,31.94787421,34.3220046,-2.374130391,-8,-3,-5,-0.68,0.51,-1.19
1,37,male,33,new,a,0,0.9123000000007552,64,52,-58,93,11,-46,19.33333333,19.33333333,0,54.90193277,57.05163353,-2.149700761,-58,-46,-12,-0.68,0.22,-0.9
1,37,male,34,new,a,0,0.8629000000003657,47,44,-9,67,8,-2,27.33333333,24.33333333,3,25.7207223,30.44484996,-4.724127658,-9,-2,-7,-0.7,0.65,-1.35
1,37,male,35,new,a,0,1.046099999999626,85,30,-10,93,17,-5,35,35,0,38.94440482,41.98412398,-3.039719165,-10,-5,-5,0.19,0.56,-0.37
1,37,male,36,new,a,0,1.2665000000000075,69,40,-28,95,8,-22,27,27,0,40.65300317,49.61854492,-8.965541751,-28,-22,-6,-0.45,0.52,-0.97
1,37,male,37,new,a,0,1.8295999999996295,63,50,-48,99,27,-43,21.66666667,27.66666667,-6,49.54683531,57.97317387,-8.426338566,-48,-43,-5,-0.67,0.02,-0.69
1,37,male,38,new,a,0,1.620399999998483,55,44,-34,91,3,-29,21.66666667,21.66666667,0,39.61761673,50.73679357,-11.11917684,-34,-29,-5,-0.67,0.5,-1.17
1,37,male,39,new,a,0,1.1125000000000114,52,40,-47,82,1,-38,15,15,0,44.11349,49.979996,-5.866505998,-47,-38,-9,-0.67,0.4,-1.07
1,37,male,40,new,a,0,0.8959000000003812,57,54,-20,83,2,-3,30.33333333,27.33333333,3,35.6121078,39.4151691,-3.803061301,-20,-3,-17,-0.7,0.7,-1.4
1,37,male,41,new,a,0,1.163499999999999,59,50,-48,83,10,-41,20.33333333,17.33333333,3,48.45845873,50.88767587,-2.429217144,-48,-41,-7,-0.69,0.21,-0.9
1,37,male,42,new,a,0,0.9132000000010976,55,38,-27,78,8,-20,22,22,0,35.33647785,41.21488404,-5.878406195,-27,-20,-7,-0.59,0.47,-1.06
1,37,male,43,new,a,0,1.296099999999626,30,23,-7,44,5,-3,15.33333333,15.33333333,0,16.04853749,20.53181813,-4.483280636,-7,-3,-4,-0.61,0.63,-1.24
1,37,male,44,new,a,0,1.696400000000324,53,44,-12,76,17,-8,28.33333333,28.33333333,0,28.75567577,35.21678893,-6.461113157,-12,-8,-4,-0.66,0.45,-1.11
1,37,male,45,new,a,0,0.9797999999988748,70,30,-62,87,8,-57,12.66666667,12.66666667,0,55.265018070000004,58.88029287,-3.615274804,-62,-57,-5,-0.44,0.12,-0.56
1,37,male,46,new,a,0,1.1631999999992215,47,30,-26,67,16,-14,17,23,-6,31.18760438,33.43650699,-2.248902619,-26,-14,-12,-0.55,0.3,-0.85
1,37,male,47,new,a,0,1.04619999999926,37,25,-44,56,2,-40,6,6,0,35.6931366,39.29376541,-3.600628814,-44,-40,-4,-0.65,0.15,-0.8
1,37,male,48,new,a,0,1.2206000000015251,64,41,-14,77,10,-5,30.33333333,27.33333333,3,32.72443871,35.64952859,-2.925089883,-14,-5,-9,-0.45,0.61,-1.06
1,37,male,49,new,a,0,0.8966000000015129,65,47,-77,94,10,-69,11.66666667,11.66666667,0,63.12597634,66.55490632,-3.428929982,-77,-69,-8,-0.66,0.04,-0.7
1,37,male,50,new,a,0,7.272900000000334,60,39,-81,87,8,-77,6,6,0,62.11280061,66.96765388,-4.8548532700000004,-81,-77,-4,-0.65,-0.04,-0.61
1,37,male,51,new,a,0,4.08970000000113,32,20,-50,54,6,-40,0.666666667,6.666666667,-6,36.16013766,38.37823457,-2.218096913,-50,-40,-10,-0.65,0.03,-0.68
1,37,male,52,new,a,0,2.6130999999996334,77,36,-47,94,14,-42,22,22,0,51.58165048,55.80919876,-4.22754828,-47,-42,-5,-0.39,0.21,-0.6
1,37,male,53,new,a,0,1.5960999999996377,85,18,-17,93,4,-11,28.66666667,28.66666667,0,42.31889518,45.90085935,-3.581964172,-17,-11,-6,0.36,0.65,-0.29
1,37,male,54,new,a,0,2.0295999999996184,79,32,-39,94,13,-35,24,24,0,48.50429534,53.23532662,-4.731031274,-39,-35,-4,-0.24,0.3,-0.54
1,37,male,55,new,a,0,1.4131999999992215,60,24,-63,84,3,-57,7,10,-3,51.63332257,57.7754273,-6.142104729,-63,-57,-6,-0.46,0.18,-0.64
1,37,male,56,new,a,0,1.637199999999268,69,37,-33,94,9,-21,24.33333333,27.33333333,-3,42.59368759,48.70546399,-6.111776401,-33,-21,-12,-0.42,0.51,-0.93
1,37,male,57,new,a,0,1.3734000000003448,67,61,-10,90,14,-4,39.33333333,33.33333333,6,34.96982827,40.73764298,-5.767814715,-10,-4,-6,-0.69,0.6,-1.29
1,37,male,58,new,a,0,2.846300000000781,76,21,-90,94,13,-82,2.333333333,8.333333333,-6,69.04265992,71.92743257,-2.884772646,-90,-82,-8,-0.39,-0.1,-0.29
1,37,male,59,new,a,0,1.346400000000358,68,19,-54,79,4,-50,11,11,0,50.12650663,52.89612462,-2.769617994,-54,-50,-4,-0.24,0.2,-0.44
1,37,male,60,new,a,0,1.5206999999992377,63,26,-14,81,1,-7,25,25,0,31.44307025,39.73243847,-8.28936822,-14,-7,-7,-0.05,0.69,-0.74
1,37,male,61,new,a,0,2.8967999999989047,66,42,-35,90,1,-18,24.33333333,24.33333333,0,43.08389748,47.07676945,-3.992871972,-35,-18,-17,-0.55,0.62,-1.17
1,37,male,62,new,a,0,4.79619999999926,38,34,-15,62,2,-7,19,19,0,24.0970261,30.62678566,-6.529759566,-15,-7,-8,-0.69,0.66,-1.35
1,37,male,63,new,a,0,1.3630999999996334,69,44,-23,81,8,-17,30,24,6,38.8415585,41.57723736,-2.735678863,-23,-17,-6,-0.49,0.52,-1.01
1,37,male,64,new,a,0,1.0797999999988974,73,38,-33,97,1,-20,26,26,0,44.09837488,50.93132631,-6.832951437,-33,-20,-13,-0.39,0.62,-1.01
1,37,male,65,new,a,0,2.9792999999988865,76,46,-41,95,20,-34,27,27,0,49.61854492,52.89612462,-3.277579702,-41,-34,-7,-0.52,0.2,-0.72
1,37,male,66,new,a,0,1.8040999999996643,76,47,-63,93,8,-59,20,14,6,59.87208587,62.19860663,-2.326520758,-63,-59,-4,-0.58,0.14,-0.72
1,37,male,67,new,a,0,1.4103000000007455,90,21,-34,99,7,-29,25.66666667,25.66666667,0,50.73022329,53.89702115,-3.166797855,-34,-29,-5,0.14,0.48,-0.34
1,37,male,68,new,a,0,0.8629000000003657,84,36,-9,88,6,-1,37,31,6,37.97367509,40.40627014,-2.432595048,-9,-1,-8,0.04,0.69,-0.65
1,37,male,69,new,a,0,1.1465000000000032,68,40,-24,83,5,-13,28,25,3,38.50541088,41.66533331,-3.159922437,-24,-13,-11,-0.44,0.61,-1.05
1,37,male,70,new,a,0,1.3464999999999918,63,47,-15,89,7,-1,31.66666667,31.66666667,0,33.63860216,40.67213078,-7.033528616,-15,-1,-14,-0.59,0.69,-1.28
1,37,male,71,new,a,0,1.0469000000003916,81,22,-15,91,3,-6,29.33333333,29.33333333,0,39.53338954,43.75944343,-4.226053881,-15,-6,-9,0.27,0.68,-0.41
1,37,male,72,new,b,1,2.970700000001159,38,33,-50,58,27,-46,7,13,-6,40.35674252,43.59663596,-3.239893438,-50,-46,-4,-0.7,-0.45,-0.25
1,37,male,73,new,a,0,1.529700000001128,63,60,-7,87,12,-1,38.66666667,32.66666667,6,32.31442746,38.78430381,-6.46987635,-7,-1,-6,-0.7,0.65,-1.35
1,37,male,74,new,a,0,2.0463000000007696,51,45,-78,80,11,-73,6,6,0,59.44745579,62.56196928,-3.114513488,-78,-73,-5,-0.7,-0.12,-0.58
1,37,male,75,new,a,0,1.6797000000011053,63,37,-54,90,4,-48,15.33333333,15.33333333,0,50.16195991,56.90537955,-6.743419642,-54,-48,-6,-0.57,0.29,-0.86
1,37,male,76,new,a,0,1.2500999999996338,73,32,-52,92,3,-42,17.66666667,17.66666667,0,52.02777036,55.67963921,-3.651868845,-52,-42,-10,-0.39,0.38,-0.77
1,37,male,77,new,a,0,2.74659999999966,66,16,-25,85,5,-15,19,25,-6,37.21110945,43.20493799,-5.993828537,-25,-15,-10,0.12,0.6,-0.48
1,37,male,78,new,a,0,1.3629999999999995,53,51,-96,93,17,-84,2.666666667,8.666666667,-6,69.77264666,72.49980843,-2.727161767,-96,-84,-12,-0.71,-0.17,-0.54
1,37,male,79,new,a,0,1.2464000000003352,54,46,-53,77,18,-48,15.66666667,15.66666667,0,48.66438351,51.05770156,-2.393318055,-53,-48,-5,-0.69,-0.07,-0.62
1,37,male,80,new,a,0,1.679900000000373,52,43,-65,75,16,-61,10,10,0,53.16013544,55.68363015,-2.52349471,-65,-61,-4,-0.69,-0.16,-0.53
1,37,male,81,new,a,0,1.412900000000377,70,24,-76,92,8,-64,6,12,-6,60.94806532,63.7495098,-2.801444479,-76,-64,-12,-0.42,0.09,-0.51
1,37,male,82,new,a,0,1.063199999999256,41,32,-42,64,5,-38,10.33333333,10.33333333,0,37.18721405,41.81174742,-4.624533368,-42,-38,-4,-0.68,0.19,-0.87
1,37,male,83,new,a,0,0.956199999999228,54,23,-50,70,3,-46,9,9,0,43.59663596,47.5464685,-3.949832543,-50,-46,-4,-0.45,0.19,-0.64
1,37,male,84,new,a,0,1.379699999999275,71,31,-47,94,2,-32,18.33333333,21.33333333,-3,48.9988662,53.22488975,-4.22602355,-47,-32,-15,-0.37,0.5,-0.87
1,37,male,85,new,a,0,1.8133000000007653,56,46,-28,85,8,-19,24.66666667,24.66666667,0,37.46405685,44.06308609,-6.599029239,-28,-19,-9,-0.67,0.51,-1.18
1,37,male,86,new,a,0,0.8629999999999995,79,41,-38,99,6,-23,27.33333333,27.33333333,0,48.73283173,52.04058245,-3.30775072,-38,-23,-15,-0.4,0.55,-0.95
1,37,male,87,new,a,0,2.0792000000011512,88,22,-23,94,12,-19,29,29,0,45.58508528,47.67249382,-2.087408536,-23,-19,-4,0.23,0.49,-0.26
1,37,male,88,new,a,0,1.663499999999999,64,45,-19,85,10,-5,30,30,0,35.50586806,39.37003937,-3.86417131,-19,-5,-14,-0.56,0.63,-1.19
1,37,male,89,new,a,0,1.7501999999992108,52,45,-43,79,10,-35,18,18,0,43.2280773,46.88283268,-3.654755383,-43,-35,-8,-0.69,0.25,-0.94
1,37,male,90,new,b,1,7.112699999999279,73,48,-72,98,34,-65,16.33333333,22.33333333,-6,63.28945849,67.05387552,-3.764417033,-72,-65,-7,-0.63,-0.26,-0.37
1,37,male,91,new,a,0,1.0802000000011276,59,50,-96,98,6,-91,4.333333333,4.333333333,0,71.04145894,77.16792656,-6.126467612,-96,-91,-5,-0.7,-0.03,-0.67
1,37,male,92,new,a,0,1.6894000000003189,74,38,-25,94,11,-18,29,29,0,40.91454509,47.46226571,-6.547720623,-25,-18,-7,-0.32,0.51,-0.83
1,37,male,93,new,b,1,3.5293000000007737,50,46,-84,74,36,-80,4,10,-6,62.24682053,65.50318058,-3.25636005,-84,-80,-4,-0.7,-0.53,-0.17
1,37,male,94,new,a,0,4.063100000001498,68,39,-23,88,15,-19,28,28,0,37.95611501,44.6392951,-6.683180086,-23,-19,-4,-0.41,0.41,-0.82
1,37,male,95,new,a,0,1.9062999999988504,59,49,-17,81,20,-10,30.33333333,30.33333333,0,33.71778298,37.86232369,-4.144540718,-17,-10,-7,-0.66,0.39,-1.05
1,37,male,96,new,a,0,1.546200000001079,73,53,-40,92,18,-33,28.66666667,25.66666667,3,49.23639124,51.31817958,-2.081788343,-40,-33,-7,-0.62,0.22,-0.84
1,37,male,97,new,a,0,1.0965999999996257,46,39,-47,76,2,-40,12.66666667,12.66666667,0,42.28737663,47.95368136,-5.666304726,-47,-40,-7,-0.69,0.32,-1.01
1,37,male,98,new,a,0,1.2130999999995993,69,51,-21,95,8,-4,33,33,0,38.88444419,44.11349,-5.22904581,-21,-4,-17,-0.6,0.67,-1.27
1,37,male,99,new,a,0,1.2964000000004037,52,40,-57,82,4,-42,11.66666667,14.66666667,-3,48.80118396,51.18159391,-2.380409957,-57,-42,-15,-0.68,0.3,-0.98
1,37,male,100,new,a,0,1.519899999998529,44,39,-75,72,4,-68,2.666666667,2.666666667,0,54.95654849,57.16253629,-2.205987801,-75,-68,-7,-0.7,-0.03,-0.67
1,37,male,101,old,b,1,7.848700000001145,60,35,-20,63,33,-12,25,28,-3,33.41656276,30.82207001,2.594492745,-20,-12,-8,-0.42,-0.24,-0.18
1,37,male,102,old,b,1,5.563199999999256,78,60,-46,63,61,-32,30.66666667,30.66666667,0,54.70730197,44.31954673,10.38775524,-46,-32,-14,-0.65,-0.71,0.06
1,37,male,103,old,b,1,4.279599999999618,63,24,-59,39,36,-47,9.333333333,9.333333333,0,50.87457344,39.85250585,11.02206759,-59,-47,-12,-0.41,-0.7,0.29
1,37,male,104,old,b,1,6.196500000000015,84,75,-47,83,60,-31,37.33333333,37.33333333,0,59.74575764,49.22284926,10.52290838,-47,-31,-16,-0.7,-0.59,-0.11
1,37,male,105,old,b,1,3.92990000000043,75,27,-60,59,34,-51,14,14,0,55.87486018,47.08148964,8.793370539,-60,-51,-9,-0.34,-0.56,0.22
1,37,male,106,old,b,1,2.263500000000022,75,73,-48,83,65,-30,33.33333333,39.33333333,-6,57.5171472,49.57373857,7.943408634,-48,-30,-18,-0.71,-0.64,-0.07
1,37,male,107,old,a,0,4.463200000001052,96,32,-13,92,15,-1,38.33333333,35.33333333,3,44.723844,40.59830319,4.125540807,-13,-1,-12,0.21,0.63,-0.42
1,37,male,108,old,b,1,4.6954999999999245,96,27,-44,64,55,-40,26.33333333,26.33333333,0,57.15670467,47.0484384,10.10826627,-44,-40,-4,-0.02,-0.69,0.67
1,37,male,109,old,b,1,4.146400000000426,82,60,-65,69,63,-55,25.66666667,25.66666667,0,64.73707507,57.09251751,7.644557563,-65,-55,-10,-0.65,-0.7,0.05
1,37,male,110,old,b,1,4.429499999999962,76,15,-33,63,23,-28,19.33333333,19.33333333,0,44.60443426,37.24095714,7.363477116,-33,-28,-5,0.14,-0.15,0.29
1,37,male,111,old,b,1,3.362700000001155,83,41,-57,84,47,-46,22.33333333,28.33333333,-6,58.65909042,54.68901982,3.9700706,-57,-46,-11,-0.45,-0.47,0.02
1,37,male,112,old,b,1,2.5131999999993013,76,15,-21,57,42,-11,23.33333333,29.33333333,-6,40.03609483,29.16999981,10.86609502,-21,-11,-10,0.3,-0.57,0.87
1,37,male,113,old,b,1,3.5130999999996675,94,58,-17,96,40,-1,45,45,0,46.23851209,39.75759885,6.480913232,-17,-1,-16,-0.4,0.19,-0.59
1,37,male,114,old,b,1,3.7298000000007514,78,66,-11,64,61,-1,44.33333333,41.33333333,3,39.43207944,29.95923156,9.472847881,-11,-1,-10,-0.66,-0.7,0.04
1,37,male,115,old,b,1,3.046199999999203,55,29,-25,52,42,-17,19.66666667,25.66666667,-6,33.31999733,30.44484996,2.875147376,-25,-17,-8,-0.4,-0.65,0.25
1,37,male,116,old,b,1,3.1626999999991767,70,22,-42,58,18,-26,16.66666667,16.66666667,0,45.87906809,34.30581421,11.57325388,-42,-26,-16,-0.17,-0.06,-0.11
1,37,male,117,old,a,0,1.946400000000267,53,43,-8,49,31,-1,29.33333333,26.33333333,3,26.71246068,20.67741656,6.035044121,-8,-1,-7,-0.63,-0.33,-0.3
1,37,male,118,old,b,1,2.7127999999988788,60,14,-23,64,12,-7,17,23,-6,33.950945,30.01110905,3.93983595,-23,-7,-16,0.13,0.5,-0.37
1,37,male,119,old,b,1,2.2964000000004035,51,40,-31,42,41,-23,20,20,0,36.34097779,30.40833219,5.932645598,-31,-23,-8,-0.66,-0.71,0.05
1,37,male,120,old,b,1,4.562900000000354,90,28,-61,83,25,-51,19,19,0,61.97311245,54.86954225,7.1035702,-61,-51,-10,-0.21,-0.16,-0.05
1,37,male,121,old,b,1,2.7629000000004,78,21,-82,61,26,-70,5.666666667,5.666666667,0,66.21345952,55.37949881,10.83396071,-82,-70,-12,-0.33,-0.5,0.17
1,37,male,122,old,b,1,2.64650000000006,88,66,-26,87,52,-11,42.66666667,42.66666667,0,49.37835783,40.54901013,8.829347706,-26,-11,-15,-0.6,-0.33,-0.27
1,37,male,123,old,b,1,2.7466999999992368,88,21,-90,58,41,-80,6.333333333,6.333333333,0,73.40451091,61.44012442,11.96438649,-90,-80,-10,-0.29,-0.67,0.38
1,37,male,124,old,b,1,2.2801999999992404,36,21,-30,39,17,-20,9,12,-3,28.24889378,24.34474618,3.904147602,-30,-20,-10,-0.56,-0.3,-0.26
1,37,male,125,old,a,0,1.64650000000006,85,53,-67,66,63,-58,23.66666667,23.66666667,0,65.42850211,57.76004001,7.668462102,-67,-58,-9,-0.58,-0.71,0.13
1,37,male,126,old,b,1,2.1965000000000146,72,17,-27,51,31,-20,20.66666667,20.66666667,0,40.49965706,29.89239963,10.60725743,-27,-20,-7,0.14,-0.48,0.62
1,37,male,127,old,b,1,1.9799000000003844,77,41,-37,76,27,-22,27,27,0,47.58150901,40.00833247,7.573176548,-37,-22,-15,-0.42,0,-0.42
1,37,male,128,old,b,1,2.0629000000003543,86,27,-87,69,30,-73,8.666666667,8.666666667,0,71.80683966,59.90177144,11.90506822,-87,-73,-14,-0.37,-0.49,0.12
1,37,male,129,old,a,0,1.830000000000041,70,13,-28,63,8,-16,18.33333333,18.33333333,0,40.18568015,33.06895153,7.116728613,-28,-16,-12,0.2,0.44,-0.24
1,37,male,130,old,b,1,1.89659999999958,67,50,-25,66,32,-6,30.66666667,30.66666667,0,39.96943276,29.40899333,10.56043943,-25,-6,-19,-0.61,-0.07,-0.54
1,37,male,131,old,b,1,1.5298000000008187,96,33,-14,80,42,-7,38.33333333,38.33333333,0,45.0653846,35.6121078,9.453276793,-14,-7,-7,0.18,-0.15,0.33
1,37,male,132,old,b,1,3.829900000000407,73,41,-12,65,47,-1,34,37,-3,35.05234181,27.85677655,7.19556526,-12,-1,-11,-0.29,-0.49,0.2
1,37,male,133,old,b,1,7.146300000000679,95,25,-45,69,46,-40,25,25,0,57.15476066,46.91126375,10.24349691,-45,-40,-5,0,-0.58,0.58
1,37,male,134,old,b,1,2.113199999999324,89,61,-86,90,63,-71,21.33333333,27.33333333,-6,76.75212628,70.40044192,6.351684365,-86,-71,-15,-0.64,-0.63,-0.01
1,37,male,135,old,b,1,2.4120999999996684,83,39,-20,88,37,-5,34,40,-6,42.19794624,38.02630668,4.171639554,-20,-5,-15,-0.18,0.12,-0.3
1,37,male,136,old,b,1,6.229900000000384,94,36,-54,66,41,-49,25.33333333,19.33333333,6,60.88969991,49.38510797,11.50459195,-54,-49,-5,-0.26,-0.57,0.31
1,37,male,137,old,b,1,1.3798999999985426,76,36,-11,65,40,-4,33.66666667,33.66666667,0,35.55590278,28.52289529,7.033007489,-11,-4,-7,-0.1,-0.32,0.22
1,37,male,138,old,b,1,1.995999999999981,77,47,-55,89,39,-41,23,29,-6,56.49778757,53.54126135,2.95652622,-55,-41,-14,-0.56,-0.27,-0.29
1,37,male,139,old,b,1,1.6299999999999957,89,46,-19,85,23,-1,38.66666667,35.66666667,3,44.39469438,36.23380864,8.160885733,-19,-1,-18,-0.24,0.48,-0.72
1,37,male,140,old,b,1,2.9461999999991804,83,69,-20,73,72,-13,44,44,0,45.61432524,40.30715404,5.307171197,-20,-13,-7,-0.66,-0.71,0.05
1,37,male,141,old,b,1,2.39629999999886,58,9,-18,53,10,-14,16.33333333,16.33333333,0,31.45720197,27.71682201,3.740379958,-18,-14,-4,0.34,0.33,0.01
1,37,male,142,old,a,0,4.896700000001147,50,11,-57,35,13,-44,1.333333333,1.333333333,0,44.21412545,33.289971799999996,10.92415365,-57,-44,-13,-0.32,-0.48,0.16
1,37,male,143,old,b,1,2.8128000000007205,85,73,-22,97,49,-10,45.33333333,45.33333333,0,47.86323107,43.75944343,4.103787649,-22,-10,-12,-0.67,-0.13,-0.54
1,37,male,144,old,a,0,6.0960999999996375,92,37,-21,95,22,-9,36,36,0,46.13747573,43.59663596,2.540839773,-21,-9,-12,-0.03,0.45,-0.48
1,37,male,145,old,b,1,2.42990000000043,94,19,-17,81,8,-2,32,29,3,46.23851209,36.99549522,9.243016866,-17,-2,-15,0.4,0.67,-0.27
1,37,male,146,old,b,1,2.7631999999993013,83,34,-85,62,50,-80,10.66666667,10.66666667,0,70.54234347,64.29791771,6.244425757,-85,-80,-5,-0.46,-0.69,0.23
1,37,male,147,old,b,1,4.129200000001106,78,23,-44,60,33,-36,19,19,0,49.88653793,40.42276586,9.463772067,-44,-36,-8,-0.12,-0.48,0.36
1,37,male,148,old,b,1,4.179900000000316,96,7,-31,90,8,-26,24,24,0,53.22280213,48.68949236,4.533309767,-31,-26,-5,0.45,0.46,-0.01
1,37,male,149,old,a,0,3.063199999999256,78,38,-68,84,24,-51,16,19,-3,61.60086579,55.22680509,6.374060709,-68,-51,-17,-0.49,-0.14,-0.35
1,37,male,150,old,b,1,2.6299000000003616,74,64,-60,72,67,-43,26,32,-6,60.94806532,53.07227776,7.875787563,-60,-43,-17,-0.69,-0.7,0.01
1,37,male,151,old,a,0,2.363900000000399,83,77,-23,99,33,-4,45.66666667,42.66666667,3,48.61641241,42.60151275,6.014899656,-23,-4,-19,-0.7,0.33,-1.03
1,37,male,152,old,b,1,2.412400000000389,37,20,-43,33,26,-36,4.666666667,7.666666667,-3,34.41253002,31.00895928,3.403570739,-43,-36,-7,-0.58,-0.68,0.1
1,37,male,153,old,b,1,2.8630999999995765,89,74,-13,90,55,-4,50,47,3,44.96665431,38.79003308,6.176621228,-13,-4,-9,-0.65,-0.3,-0.35
1,37,male,154,old,a,0,5.196500000000015,58,32,-27,41,25,-21,21,15,6,35.56215217,26.28053779,9.281614373,-27,-21,-6,-0.43,-0.52,0.09
