id,age,sex,trial,gamble_type,choice,resp,rt,outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff
1,30,male,33,confounded,b,1,2.339000000000027,49,11,-37,57,15,-22,7.666666667,16.66666667,-9,35.18838192,32.27313985,2.915242074,-37,-22,-15,-0.14,0.08,-0.22
1,30,male,34,unconfounded,b,1,6.885000000000048,48,36,-33,76,20,-27,17,23,-6,35.6931366,42.10304819,-6.409911592,-33,-27,-6,-0.65,0.11,-0.76
1,30,male,35,unconfounded,a,0,3.2029999999999745,57,37,-65,85,1,-54,9.666666667,10.66666667,-1,53.42492136,57.15670467,-3.731783312,-65,-54,-11,-0.63,0.25,-0.88
1,30,male,36,unconfounded,b,1,3.75,61,50,-88,94,11,-82,7.666666667,7.666666667,0,67.79544396,71.8903486,-4.094904639,-88,-82,-6,-0.69,-0.07,-0.62
1,30,male,37,confounded,a,0,3.551999999999964,79,76,-68,85,37,-62,29,20,9,68.60029154,61.20457499,7.395716552,-68,-62,-6,-0.71,-0.4,-0.31
1,30,male,38,confounded,b,1,19.126999999999953,85,31,-13,81,32,-1,34.33333333,37.33333333,-3,40.07770231,33.68811198,6.389590326,-13,-1,-12,0.12,0.23,-0.11
1,30,male,39,confounded,b,1,2.6159999999999854,83,79,-38,99,58,-24,41.33333333,44.33333333,-3,56.12090124,51.13598429,4.98491695,-38,-24,-14,-0.7,-0.38,-0.32
1,30,male,40,unconfounded,a,0,2.6549999999999727,92,49,-7,99,9,-1,44.66666667,35.66666667,9,40.53256578,44.96912521,-4.436559429,-7,-1,-6,-0.16,0.68,-0.84
1,30,male,41,confounded,b,1,4.302999999999997,65,35,-34,61,27,-22,22,22,0,41.44876355,34.06855833,7.380205222,-34,-22,-12,-0.44,-0.22,-0.22
1,30,male,42,unconfounded,a,0,3.0960000000000036,61,43,-79,96,2,-73,8.333333333,8.333333333,0,62.18967403,69.13915115,-6.949477127,-79,-73,-6,-0.66,0.14,-0.8
1,30,male,43,confounded,a,0,4.550999999999988,53,43,-8,49,31,-1,29.33333333,26.33333333,3,26.71246068,20.67741656,6.035044121,-8,-1,-7,-0.63,-0.33,-0.3
1,30,male,44,confounded,b,1,3.8839999999999577,95,89,-13,98,73,-3,57,56,1,49.55804677,42.94958285,6.608463927,-13,-3,-10,-0.7,-0.53,-0.17
1,30,male,45,confounded,b,1,5.8390000000000555,60,35,-32,57,29,-20,21,22,-1,38.8415585,31.82242396,7.01913454,-32,-20,-12,-0.49,-0.32,-0.17
1,30,male,46,confounded,b,1,10.236000000000049,52,14,-16,53,17,-2,16.66666667,22.66666667,-6,27.82484901,22.80838053,5.01646848,-16,-2,-14,0.14,0.36,-0.22
1,30,male,47,confounded,b,1,2.983000000000004,96,61,-17,93,41,-3,46.66666667,43.66666667,3,47.23228651,39.23717059,7.995115924,-17,-3,-14,-0.43,0.1,-0.53
1,30,male,48,confounded,a,0,24.267999999999972,88,55,-57,98,39,-42,28.66666667,31.66666667,-3,62.05553069,57.38950736,4.666023323,-57,-42,-15,-0.56,-0.19,-0.37
1,30,male,49,confounded,b,1,4.793999999999983,65,54,-20,73,59,-6,33,42,-9,37.74475681,34.41898701,3.325769802,-20,-6,-14,-0.66,-0.62,-0.04
1,30,male,50,unconfounded,a,0,34.64799999999997,61,18,-37,77,14,-31,14,20,-6,40.10818703,44.29446918,-4.186282153,-37,-31,-6,-0.15,0.2,-0.35
1,30,male,51,unconfounded,a,0,2.3249999999999886,72,34,-68,95,3,-57,12.66666667,13.66666667,-1,59.11194653,62.51044357,-3.398497045,-68,-57,-11,-0.49,0.25,-0.74
1,30,male,52,unconfounded,a,0,11.005999999999972,58,37,-21,83,16,-7,24.66666667,30.66666667,-6,33.40991204,38.17794593,-4.768033896,-21,-7,-14,-0.5,0.52,-1.02
1,30,male,53,confounded,b,1,7.538000000000011,95,41,-73,89,40,-63,21,22,-1,70.0285656,63.34561284,6.682952755,-73,-63,-10,-0.41,-0.4,-0.01
1,30,male,54,confounded,b,1,14.923999999999978,45,24,-31,48,17,-18,12.66666667,15.66666667,-3,32.0451071,26.96087701,5.084230092,-31,-18,-13,-0.49,-0.07,-0.42
1,30,male,55,unconfounded,a,0,4.725999999999999,63,47,-21,91,15,-14,29.66666667,30.66666667,-1,36.41733409,44.27439692,-7.857062825,-21,-14,-7,-0.61,0.49,-1.1
1,30,male,56,confounded,b,1,2.383000000000038,48,42,-20,63,30,-5,23.33333333,29.33333333,-6,30.73904502,27.7648859,2.974159125,-20,-5,-15,-0.69,-0.04,-0.65
1,30,male,57,confounded,a,0,4.347999999999956,79,45,-35,80,2,-20,29.66666667,20.66666667,9,47.7865625,42.90558109,4.880981407,-35,-20,-15,-0.45,0.57,-1.02
1,30,male,59,unconfounded,a,0,4.7660000000000196,62,50,-83,92,15,-75,9.666666667,10.66666667,-1,65.70810875,68.24628602,-2.53817727,-83,-75,-8,-0.69,-0.09,-0.6
1,30,male,60,unconfounded,a,0,4.5330000000000155,58,40,-41,89,8,-31,19,22,-3,43.05810028,49.979996,-6.921895715,-41,-31,-10,-0.62,0.4,-1.02
1,30,male,61,unconfounded,a,0,3.055000000000007,77,49,-72,97,6,-67,18,12,6,64.65807503,67.08700818,-2.42893315,-72,-67,-5,-0.61,0.13,-0.74
1,30,male,62,unconfounded,b,1,4.120999999999981,65,38,-26,81,20,-21,25.66666667,26.66666667,-1,38.16047985,41.90730512,-3.74682527,-26,-21,-5,-0.45,0.23,-0.68
1,30,male,63,unconfounded,b,1,2.875,70,55,-15,99,30,-1,36.66666667,42.66666667,-6,37.04351795,41.7957999,-4.752281944,-15,-1,-14,-0.62,0.43,-1.05
1,30,male,64,confounded,b,1,4.870999999999981,93,87,-40,99,80,-30,46.66666667,49.66666667,-3,61.33152171,56.86436103,4.467160681,-40,-30,-10,-0.7,-0.65,-0.05
1,30,male,65,confounded,b,1,5.522999999999911,62,49,-44,69,55,-30,22.33333333,31.33333333,-9,47.20404879,43.74420597,3.459842825,-44,-30,-14,-0.67,-0.65,-0.02
1,30,male,66,unconfounded,b,1,10.565000000000056,65,10,-62,90,1,-51,4.333333333,13.33333333,-9,52.00213671,58.21988969,-6.217752982,-62,-51,-11,-0.16,0.31,-0.47
1,30,male,67,confounded,b,1,6.01400000000001,89,67,-17,87,61,-12,46.33333333,45.33333333,1,45.67518169,41.90730512,3.76787657,-17,-12,-5,-0.59,-0.51,-0.08
1,30,male,68,confounded,b,1,3.858000000000061,85,77,-20,97,78,-6,47.33333333,56.33333333,-9,47.72374205,44.75364665,2.970095399,-20,-6,-14,-0.69,-0.61,-0.08
1,30,male,69,confounded,b,1,4.791000000000054,96,51,-91,99,54,-79,18.66666667,24.66666667,-6,79.69246444,75.57042337,4.122041069,-91,-79,-12,-0.54,-0.52,-0.02
1,30,male,70,confounded,b,1,4.1299999999999955,73,68,-84,83,63,-71,19,25,-6,72.86059749,68.37153404,4.489063453,-84,-71,-13,-0.7,-0.66,-0.04
1,30,male,71,unconfounded,a,0,3.4629999999999654,52,48,-39,83,15,-28,20.33333333,23.33333333,-3,41.9867704,45.69707017,-3.710299768,-39,-28,-11,-0.7,0.27,-0.97
1,30,male,72,unconfounded,a,0,3.924000000000092,71,48,-19,96,7,-6,33.33333333,32.33333333,1,38.17794593,45.33088229,-7.152936355,-19,-6,-13,-0.52,0.66,-1.18
1,30,male,73,unconfounded,a,0,4.83299999999997,76,64,-21,97,15,-11,39.66666667,33.66666667,6,43.17663977,46.02414825,-2.847508476,-21,-11,-10,-0.67,0.54,-1.21
1,30,male,74,confounded,b,1,4.337999999999965,82,80,-87,96,60,-78,25,26,-1,79.20016835,74.99333304,4.206835313,-87,-78,-9,-0.71,-0.59,-0.12
1,30,male,75,confounded,b,1,3.132000000000062,88,64,-15,89,47,-2,45.66666667,44.66666667,1,44.00252518,37.18721405,6.815311129,-15,-2,-13,-0.55,-0.09,-0.46
1,30,male,76,unconfounded,a,0,2.533999999999992,67,35,-44,90,1,-33,19.33333333,19.33333333,0,46.64999702,51.86092513,-5.210928109,-44,-33,-11,-0.47,0.49,-0.96
1,30,male,77,unconfounded,a,0,15.911000000000058,69,66,-55,96,34,-50,26.66666667,26.66666667,0,57.76004001,59.82938706,-2.069347044,-55,-50,-5,-0.71,-0.18,-0.53
1,30,male,78,unconfounded,a,0,3.400000000000091,58,54,-47,89,7,-34,21.66666667,20.66666667,1,48.58211834,51.13598429,-2.553865948,-47,-34,-13,-0.7,0.38,-1.08
1,30,male,79,confounded,b,1,6.434000000000083,57,40,-94,70,21,-79,1,4,-3,67.53270812,62.00537611,5.527332014,-94,-79,-15,-0.67,-0.39,-0.28
1,30,male,80,unconfounded,a,0,2.8730000000000473,66,61,-25,89,4,-18,34,25,9,41.76920716,46.13747573,-4.368268571,-25,-18,-7,-0.7,0.59,-1.29
1,30,male,81,confounded,a,0,5.038000000000011,67,65,-84,92,13,-75,16,10,6,70.71539201,68.21045863,2.504933376,-84,-75,-9,-0.71,-0.07,-0.64
1,30,male,83,confounded,b,1,23.646000000000072,80,73,-34,85,63,-29,39.66666667,39.66666667,0,52.16853032,49.37835783,2.790172486,-34,-29,-5,-0.7,-0.6,-0.1
1,30,male,84,confounded,b,1,2.217999999999961,88,81,-45,99,73,-30,41.33333333,47.33333333,-6,61.11373732,55.70358058,5.410156742,-45,-30,-15,-0.7,-0.59,-0.11
1,30,male,85,confounded,a,0,2.6170000000000755,69,40,-29,65,14,-17,26.66666667,20.66666667,6,41.10420362,33.80663972,7.297563908,-29,-17,-12,-0.45,0.29,-0.74
1,30,male,86,confounded,b,1,2.6849999999999454,37,36,-64,47,22,-51,3,6,-3,47.37791328,41.57723736,5.800675917,-64,-51,-13,-0.71,-0.52,-0.19
1,30,male,87,confounded,a,0,4.246999999999957,98,40,-65,99,32,-55,24.33333333,25.33333333,-1,67.46027638,63.04671989,4.413556487,-65,-55,-10,-0.34,-0.16,-0.18
1,30,male,88,unconfounded,a,0,2.65300000000002,57,55,-50,97,16,-42,20.66666667,23.66666667,-3,49.97554958,57.00487309,-7.029323509,-50,-42,-8,-0.71,0.2,-0.91
1,30,male,89,unconfounded,b,1,6.629000000000019,45,38,-33,83,15,-21,16.66666667,25.66666667,-9,35.23571421,43.12256434,-7.886850138,-33,-21,-12,-0.69,0.36,-1.05
1,30,male,90,confounded,a,0,4.6480000000000246,80,61,-49,77,57,-42,30.66666667,30.66666667,0,56.86436103,52.02777036,4.836590669,-49,-42,-7,-0.65,-0.63,-0.02
1,30,male,91,unconfounded,a,0,2.8099999999999454,63,45,-19,81,8,-9,29.66666667,26.66666667,3,35.18838192,39.04128869,-3.852906764,-19,-9,-10,-0.57,0.61,-1.18
1,30,male,92,confounded,a,0,3.5299999999999727,80,54,-23,85,21,-13,37,31,6,43.73404471,40.62839729,3.105647416,-23,-13,-10,-0.52,0.35,-0.87
1,30,male,93,confounded,b,1,4.498000000000047,89,83,-40,98,60,-26,44,44,0,59.44745579,51.87163644,7.575819354,-40,-26,-14,-0.7,-0.43,-0.27
1,30,male,94,confounded,b,1,5.966000000000008,65,62,-49,72,57,-42,26,29,-3,53.04714884,50.57667447,2.470474374,-49,-42,-7,-0.71,-0.66,-0.05
1,30,male,95,unconfounded,a,0,2.625,73,50,-46,98,7,-31,25.66666667,24.66666667,1,51.53855084,54.12536887,-2.586818037,-46,-31,-15,-0.6,0.45,-1.05
1,30,male,96,unconfounded,a,0,6.113999999999919,64,57,-33,97,1,-19,29.33333333,26.33333333,3,44.16886787,50.63156679,-6.46269892,-33,-19,-14,-0.69,0.63,-1.32
1,30,male,97,confounded,b,1,8.141999999999939,79,75,-24,86,58,-11,43.33333333,44.33333333,-1,47.6398526,40.76218291,6.877669688,-24,-11,-13,-0.7,-0.47,-0.23
1,30,male,98,unconfounded,a,0,2.5809999999999036,62,45,-31,84,8,-19,25.33333333,24.33333333,1,40.43375927,43.60682923,-3.173069958,-31,-19,-12,-0.61,0.51,-1.12
1,30,male,99,confounded,b,1,5.788000000000011,69,48,-67,68,45,-60,16.66666667,17.66666667,-1,59.77922344,55.7155474,4.063676043,-67,-60,-7,-0.64,-0.62,-0.02
1,30,male,100,confounded,b,1,5.3799999999999955,82,57,-23,90,38,-9,38.66666667,39.66666667,-1,44.78342948,40.43375927,4.349670203,-23,-9,-14,-0.55,0.06,-0.61
1,30,male,101,confounded,a,0,3.032000000000039,81,74,-67,96,32,-58,29.33333333,23.33333333,6,68.17787194,63.16820579,5.009666154,-67,-58,-9,-0.7,-0.2,-0.5
1,30,male,102,unconfounded,b,1,14.115000000000007,76,42,-93,97,33,-87,8.333333333,14.33333333,-6,72.9855389,76.26853145,-3.282992543,-93,-87,-6,-0.59,-0.35,-0.24
1,30,male,103,unconfounded,a,0,18.83699999999999,71,45,-35,95,9,-23,27,27,0,45.10727953,49.82636518,-4.719085645,-35,-23,-12,-0.54,0.49,-1.03
1,30,male,104,unconfounded,a,0,9.427999999999995,81,51,-42,96,4,-37,30,21,9,52.36410985,55.61174936,-3.247639512,-42,-37,-5,-0.54,0.43,-0.97
1,30,male,105,unconfounded,b,1,5.165000000000077,64,23,-82,89,11,-77,1.666666667,7.666666667,-6,61.48351179,67.81019261,-6.326680822,-82,-77,-5,-0.48,-0.07,-0.41
1,30,male,106,unconfounded,b,1,9.05200000000002,84,46,-12,97,13,-1,39.33333333,36.33333333,3,39.47432358,43.27688631,-3.802562731,-12,-1,-11,-0.25,0.65,-0.9
1,30,male,107,unconfounded,a,0,11.860000000000014,82,49,-56,98,10,-51,25,19,6,58.83876273,61.16098975,-2.322227012,-56,-51,-5,-0.54,0.22,-0.76
1,30,male,108,unconfounded,b,1,6.2299999999999045,72,70,-34,99,2,-20,36,27,9,49.50420858,51.69784006,-2.193631483,-34,-20,-14,-0.71,0.61,-1.32
1,30,male,109,unconfounded,a,0,7.3519999999999754,70,60,-28,92,11,-19,34,28,6,44.0302926,46.88283268,-2.852540076,-28,-19,-9,-0.68,0.5,-1.18
1,30,male,110,confounded,a,0,4.0090000000000146,81,75,-12,85,53,-3,48,45,3,42.49705872,36.36848453,6.128574196,-12,-3,-9,-0.7,-0.32,-0.38
1,30,male,111,confounded,b,1,2.491000000000099,39,30,-45,49,34,-32,8,17,-9,37.65634077,35.18522417,2.471116596,-45,-32,-13,-0.68,-0.61,-0.07
1,30,male,112,confounded,a,0,3.4610000000000127,59,54,-8,62,28,-3,35,29,6,30.47403266,26.54555832,3.928474339,-8,-3,-5,-0.69,0.06,-0.75
1,30,male,113,unconfounded,a,0,4.58299999999997,60,51,-79,94,11,-73,10.66666667,10.66666667,0,63.51027913,68.17787194,-4.667592807,-79,-73,-6,-0.7,-0.01,-0.69
1,30,male,114,unconfounded,b,1,2.2180000000000746,65,27,-35,83,18,-26,19,25,-6,41.21488404,44.77350407,-3.558620027,-35,-26,-9,-0.28,0.23,-0.51
1,30,male,115,unconfounded,b,1,6.0499999999999545,55,52,-40,92,13,-29,22.33333333,25.33333333,-3,44.09333535,50.16195991,-6.068624563,-40,-29,-11,-0.7,0.35,-1.05
1,30,male,116,unconfounded,a,0,6.2690000000000055,64,56,-58,94,9,-50,20.66666667,17.66666667,3,55.72152985,59.10630724,-3.384777389,-58,-50,-8,-0.7,0.22,-0.92
1,30,male,117,confounded,a,0,4.774000000000001,81,8,-35,75,6,-24,18,19,-1,47.88179891,41.44876355,6.433035356,-35,-24,-11,0.3,0.44,-0.14
1,30,male,118,unconfounded,a,0,3.19500000000005,76,54,-46,97,16,-38,28,25,3,53.09111665,55.47972603,-2.388609381,-46,-38,-8,-0.62,0.24,-0.86
1,30,male,119,confounded,a,0,3.713000000000079,82,63,-26,93,35,-12,39.66666667,38.66666667,1,47.07676945,42.94440851,4.132360945,-26,-12,-14,-0.62,0.13,-0.75
1,30,male,120,unconfounded,a,0,13.41999999999996,74,36,-41,90,6,-30,23,22,1,47.84001115,50.27922036,-2.439209212,-41,-30,-11,-0.39,0.45,-0.84
1,30,male,121,confounded,b,1,8.380999999999972,91,75,-12,94,55,-4,51.33333333,48.33333333,3,45.25728916,40.28509512,4.97219404,-12,-4,-8,-0.64,-0.24,-0.4
1,30,male,122,unconfounded,b,1,2.993000000000052,67,36,-51,86,5,-42,17.33333333,16.33333333,1,49.94886274,52.8667087,-2.917845962,-51,-42,-9,-0.51,0.31,-0.82
1,30,male,123,confounded,b,1,5.216000000000008,30,4,-19,23,3,-8,5,6,-1,20.01665973,12.83225104,7.184408691,-19,-8,-11,0.07,0.34,-0.27
1,30,male,124,confounded,b,1,3.930000000000064,86,67,-20,98,40,-5,44.33333333,44.33333333,0,46.14710777,42.16106682,3.986040948,-20,-5,-15,-0.62,0.15,-0.77
1,30,male,125,unconfounded,a,0,3.7250000000000223,66,40,-29,84,13,-23,25.66666667,24.66666667,1,40.08601862,44.45472103,-4.368702413,-29,-23,-6,-0.49,0.38,-0.87
1,30,male,126,confounded,a,0,3.5710000000000264,86,80,-10,84,66,-3,52,49,3,43.9089968,37.49666652,6.412330282,-10,-3,-7,-0.7,-0.59,-0.11
1,30,male,127,unconfounded,a,0,3.2029999999999745,74,30,-33,93,7,-20,23.66666667,26.66666667,-3,43.91152721,48.18252334,-4.270996128,-33,-20,-13,-0.21,0.54,-0.75
1,30,male,129,unconfounded,a,0,3.576999999999998,50,24,-56,83,8,-46,6,15,-9,45.10727953,52.89612462,-7.788845091,-56,-46,-10,-0.54,0.2,-0.74
1,30,male,130,confounded,a,0,3.1660000000000537,87,69,-31,91,47,-16,41.66666667,40.66666667,1,51.90589776,43.91152721,7.994370546,-31,-16,-15,-0.64,-0.21,-0.43
1,30,male,131,unconfounded,a,0,2.205000000000041,74,46,-44,87,1,-39,25.33333333,16.33333333,9,50.34105901,52.56953068,-2.228471667,-44,-39,-5,-0.55,0.41,-0.96
1,30,male,132,confounded,b,1,2.534999999999968,82,74,-71,84,63,-59,28.33333333,29.33333333,-1,70.31516353,63.04671989,7.26844364,-71,-59,-12,-0.7,-0.65,-0.05
1,30,male,133,confounded,a,0,3.102999999999952,60,35,-17,52,7,-8,26,17,9,32.07283378,25.49509757,6.577736212,-17,-8,-9,-0.4,0.53,-0.93
1,30,male,134,confounded,b,1,3.3170000000000073,97,65,-14,96,44,-1,49.33333333,46.33333333,3,46.64999702,39.63444069,7.015556332,-14,-1,-13,-0.47,0.09,-0.56
1,30,male,135,confounded,b,1,4.562999999999988,61,33,-71,68,40,-58,7.666666667,16.66666667,-9,56.78810517,54.02057221,2.767532958,-71,-58,-13,-0.58,-0.57,-0.01
1,30,male,136,unconfounded,b,1,5.136000000000081,51,48,-71,84,26,-64,9.333333333,15.33333333,-6,56.81744646,60.88969991,-4.072253454,-71,-64,-7,-0.71,-0.26,-0.45
1,30,male,137,unconfounded,a,0,1.7520000000000664,63,60,-29,84,5,-22,31.33333333,22.33333333,9,42.67968551,44.97653709,-2.296851579,-29,-22,-7,-0.7,0.52,-1.22
1,30,male,138,unconfounded,a,0,3.144999999999982,49,31,-74,83,4,-63,2,8,-6,54.24020649,59.67132198,-5.431115489,-74,-63,-11,-0.65,0.1,-0.75
1,30,male,139,confounded,b,1,5.437000000000012,67,16,-14,66,5,-2,23,23,0,33.43650699,30.53959179,2.896915205,-14,-2,-12,0.3,0.68,-0.38
1,30,male,140,unconfounded,a,0,10.301999999999907,47,39,-49,72,3,-41,12.33333333,11.33333333,1,43.49201715,46.50686927,-3.014852118,-49,-41,-8,-0.69,0.26,-0.95
1,30,male,141,confounded,b,1,6.4220000000000255,77,61,-18,90,60,-3,40,49,-9,41.52910626,38.75564475,2.773461509,-18,-3,-15,-0.63,-0.4,-0.23
1,30,male,143,unconfounded,a,0,2.6620000000000346,57,52,-69,95,11,-63,13.33333333,14.33333333,-1,58.25423208,64.54627969,-6.29204761,-69,-63,-6,-0.7,0.08,-0.78
1,30,male,144,unconfounded,a,0,3.8489999999999327,55,22,-21,66,6,-16,18.66666667,18.66666667,0,31.11626941,34.65384378,-3.537574369,-21,-16,-5,-0.16,0.5,-0.66
1,30,male,145,confounded,b,1,2.186999999999898,90,19,-42,81,3,-35,22.33333333,16.33333333,6,53.94029621,48.2861839,5.654112314,-42,-35,-7,0.09,0.39,-0.3
1,30,male,146,unconfounded,a,0,1.9829999999999472,80,55,-43,97,5,-37,30.66666667,21.66666667,9,53.08065142,55.96030339,-2.879651967,-43,-37,-6,-0.59,0.42,-1.01
1,30,male,147,unconfounded,a,0,4.916999999999916,56,39,-78,85,2,-70,5.666666667,5.666666667,0,59.56695579,63.33157892,-3.764623132,-78,-70,-8,-0.66,0.09,-0.75
1,30,male,148,unconfounded,a,0,4.945000000000164,74,35,-30,97,8,-17,26.33333333,29.33333333,-3,42.89781139,48.92397731,-6.026165915,-30,-17,-13,-0.29,0.57,-0.86
1,30,male,149,unconfounded,b,1,8.44600000000014,52,47,-90,84,32,-80,3,12,-9,65.79260343,68.43001291,-2.637409474,-90,-80,-10,-0.7,-0.41,-0.29
1,30,male,150,unconfounded,a,0,1.77800000000002,70,41,-47,93,2,-40,21.33333333,18.33333333,3,49.74825513,55.51176052,-5.763505382,-47,-40,-7,-0.53,0.42,-0.95
